ID_GEST_DEFA_NOTA_CONT|ID_GEST_DEFA_DOCUM|ID_GEST_TIP_MATERIAL|CONT_DEBITOR|CONT_CREDITOR|FORMULA|CONDITIE|COD_ECONOMIC|COD_FUNCTIONAL|SEMN_ITEMS
----------------------|------------------|--------------------|------------|-------------|-------|--------|------------|--------------|----------
476|6|4|302.01.00|401.01.00||NULL||NULL|NULL
479|6|7|302.04.00|401.01.00|NULL|NULL||NULL|NULL
494|6|22|303.01.00|401.01.00||NULL||NULL|NULL
500|65|4|601.00.00|302.01.00||NULL||NULL|NULL
501|65|6|602.03.00|302.03.00||NULL||NULL|NULL
504|65|5|602.02.00|302.02.00.2||NULL||NULL|NULL
505|65|7|602.04.00|302.04.00||NULL||NULL|NULL
515|65|912|602.09.00|302.09.00.1||NULL||NULL|NULL
522|6|1127|205.00.00|404.01.00||NULL||NULL|NULL
663|6|917|532.04.00|401.01.00|NULL|NULL||NULL|NULL
671|65|917|602.02.00|532.04.00||NULL||NULL|NULL
954|261|1519|628 00 00 02A|401.01.00||NULL||NULL|NULL
955|261|1124|203.1|404.01.00||NULL||NULL|NULL
956|261|1125|203.2|404.01.00|NULL|NULL|NULL|NULL|NULL
957|261|1127|205.1|404.01.00|NULL|NULL|NULL|NULL|NULL
958|261|1128|205.2|404.01.00|NULL|NULL|NULL|NULL|NULL
959|261|1129|206|404.01.00|NULL|NULL|NULL|NULL|NULL
960|261|1134|2081.1.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
961|261|1135|2081.1.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
962|261|1136|2081.1.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
963|261|1137|2081.1.02|404.01.00|NULL|NULL|NULL|NULL|NULL
964|261|1139|2081.1.03.1|404.01.00|NULL|NULL|NULL|NULL|NULL
965|261|1140|2081.1.03.2|404.01.00|NULL|NULL|NULL|NULL|NULL
966|261|1141|2081.1.03.3|404.01.00|NULL|NULL|NULL|NULL|NULL
967|261|1143|2081.1.04.1|404.01.00|NULL|NULL|NULL|NULL|NULL
968|261|1144|2081.1.04.2|404.01.00|NULL|NULL|NULL|NULL|NULL
969|261|1145|2081.1.04.3|404.01.00|NULL|NULL|NULL|NULL|NULL
970|261|1146|2081.1.05|404.01.00|NULL|NULL|NULL|NULL|NULL
971|261|1147|2081.2|404.01.00|NULL|NULL|NULL|NULL|NULL
972|261|1151|2082.1.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
973|261|1152|2082.1.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
974|261|1153|2082.1.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
975|261|1155|2082.1.03.1|404.01.00|NULL|NULL|NULL|NULL|NULL
976|261|1156|2082.1.03.2|404.01.00|NULL|NULL|NULL|NULL|NULL
977|261|1157|2082.1.03.3|404.01.00|NULL|NULL|NULL|NULL|NULL
978|261|1158|2082.1.04|404.01.00|NULL|NULL|NULL|NULL|NULL
979|261|1159|2082.2|404.01.00|NULL|NULL|NULL|NULL|NULL
980|261|1162|2111|404.01.00|NULL|NULL|NULL|NULL|NULL
981|261|1164|2112.01|404.01.00|NULL|NULL|NULL|NULL|NULL
982|261|1167|212.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
983|261|1168|212.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
984|261|1169|212.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
985|261|1172|212.01.4.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
986|261|1173|212.01.4.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
