ID_GEST_DEFA_STOC|ID_GEST_TIP_STOC|ID_GEST_TIP_DOCUM|PREDATOR|ID_GEST_TIP_MATERIAL|SEMN|SEMN_ITEMS|TIPURI_PRODUSE
-----------------|----------------|-----------------|--------|--------------------|----|----------|--------------
1|1|NULL|1|-1|1|-1|M, P, F, O
2|1|NULL|1|-1|-1|1|M, P, F, O
3|1|NULL|2|-1|-1|-1|M, P, F, O
4|1|NULL|1|-1|1|-1|M, P, F, O
5|1|NULL|1|-1|-1|1|M, P, F, O
6|1|NULL|2|-1|-1|-1|M, P, F, O
7|1|NULL|1|-1|1|-1|M, P, F, O
8|1|NULL|1|-1|-1|1|M, P, F, O
9|1|NULL|2|-1|-1|-1|M, P, F, O
10|1|NULL|2|-1|-1|-1|M, P, F, O
11|1|NULL|2|-1|1|1|M, P, F, O
12|1|NULL|1|-1|1|-1|M, P, F, O
13|1|NULL|1|-1|-1|1|M, P, F, O
14|1|NULL|2|-1|1|-1|M, P, F, O
15|1|NULL|2|-1|-1|1|M, P, F, O
16|1|NULL|1|-1|1|-1|M, P, F, O
17|1|NULL|1|-1|-1|1|M, P, F, O
18|1|NULL|2|-1|-1|-1|M, P, F, O
19|1|NULL|2|-1|1|1|M, P, F, O
20|1|NULL|1|-1|-1|-1|M, P, F, O
21|1|NULL|1|-1|-1|1|M, P, F, O
22|1|NULL|2|-1|1|-1|M, P, F, O
23|1|NULL|1|-1|1|-1|M, P, F, O
24|1|NULL|1|-1|-1|1|M, P, F, O
25|1|NULL|2|-1|-1|-1|M, P, F, O
26|1|NULL|2|-1|1|1|M, P, F, O
27|1|NULL|1|-1|1|-1|M, P, F, O
28|1|NULL|1|-1|-1|1|M, P, F, O
29|1|NULL|2|-1|-1|-1|M, P, F, O
30|1|NULL|2|-1|1|1|M, P, F, O
31|1|NULL|1|-1|-1|-1|M, P, F, O
32|1|NULL|1|-1|-1|1|M, P, F, O
33|1|NULL|1|-1|-1|-1|M, P, F, O
34|1|NULL|1|-1|-1|1|M, P, F, O
35|1|NULL|1|-1|-1|-1|M, P, F, O
36|1|NULL|1|-1|-1|1|M, P, F, O
37|1|NULL|2|-1|1|-1|M, P, F, O
38|1|NULL|1|-1|-1|-1|M, P, F, O
39|1|NULL|1|-1|-1|1|M, P, F, O
40|1|NULL|2|-1|1|-1|M, P, F, O
41|1|NULL|2|-1|1|1|M, P, F, O
42|1|NULL|1|-1|-1|-1|M, P, F, O
43|1|NULL|1|-1|1|1|M, P, F, O
46|1|NULL|1|-1|-1|-1|M, P, F, O
47|1|NULL|1|-1|-1|1|M, P, F, O
48|1|NULL|1|-1|-1|-1|M, P, F, O
49|1|NULL|1|-1|-1|1|M, P, F, O
50|1|NULL|2|-1|1|-1|M, P, F, O
51|1|NULL|2|-1|-1|1|M, P, F, O
52|1|NULL|1|-1|-1|-1|M, P, F, O
53|1|NULL|1|-1|-1|1|M, P, F, O
54|1|NULL|1|-1|-1|-1|M, P, F, O
55|1|NULL|1|-1|-1|1|M, P, F, O
56|1|NULL|1|-1|1|-1|M, P, F, O
57|1|NULL|1|-1|-1|1|M, P, F, O
58|1|NULL|1|-1|1|-1|M, P, F, O
59|1|NULL|1|-1|-1|1|M, P, F, O
60|1|NULL|2|-1|-1|-1|M, P, F, O
61|1|NULL|2|-1|1|1|M, P, F, O
62|1|NULL|1|-1|1|-1|M, P, F, O
63|1|NULL|1|-1|-1|1|M, P, F, O
64|1|NULL|2|-1|-1|-1|M, P, F, O
65|1|NULL|2|-1|1|1|M, P, F, O
66|2|NULL|1|-1|-1|-1|M, P, F, O
67|2|NULL|1|-1|-1|-1|M, P, F, O
68|2|NULL|1|-1|-1|-1|M, P, F, O
69|2|NULL|2|-1|-1|-1|M, P, F, O
70|2|NULL|2|-1|1|1|M, P, F, O
71|2|NULL|1|-1|-1|-1|M, P, F, O
72|2|NULL|2|-1|1|-1|M, P, F, O
73|2|NULL|1|-1|-1|-1|M, P, F, O
74|2|NULL|2|-1|1|1|M, P, F, O
75|2|NULL|1|-1|-1|-1|M, P, F, O
76|2|NULL|1|-1|-1|-1|M, P, F, O
77|2|NULL|2|-1|1|1|M, P, F, O
78|2|NULL|1|-1|-1|-1|M, P, F, O
79|2|NULL|2|-1|1|1|M, P, F, O
80|2|NULL|1|-1|-1|-1|M, P, F, O
81|2|NULL|1|-1|-1|-1|M, P, F, O
82|2|NULL|1|-1|-1|-1|M, P, F, O
83|2|NULL|1|-1|-1|-1|M, P, F, O
84|2|NULL|2|-1|1|1|M, P, F, O
85|2|NULL|1|-1|1|1|M, P, F, O
86|2|NULL|2|-1|1|1|M, P, F, O
87|2|NULL|1|-1|-1|-1|M, P, F, O
88|2|NULL|1|-1|-1|-1|M, P, F, O
89|2|NULL|2|-1|1|-1|M, P, F, O
90|2|NULL|1|-1|-1|-1|M, P, F, O
91|2|NULL|1|-1|-1|-1|M, P, F, O
92|2|NULL|1|-1|-1|-1|M, P, F, O
93|2|NULL|2|-1|-1|-1|M, P, F, O
94|2|NULL|2|-1|1|1|M, P, F, O
95|2|NULL|2|-1|-1|-1|M, P, F, O
96|2|NULL|2|-1|1|1|M, P, F, O
97|3|NULL|1|-1|1|1|M, P, F, O
98|3|NULL|2|-1|1|-1|M, P, F, O
99|3|NULL|1|-1|1|1|M, P, F, O
100|3|NULL|2|-1|1|-1|M, P, F, O
101|3|NULL|1|-1|1|1|M, P, F, O
102|3|NULL|2|-1|1|-1|M, P, F, O
103|3|NULL|1|-1|1|1|M, P, F, O
104|3|NULL|2|-1|-1|-1|M, P, F, O
105|3|NULL|2|-1|1|1|M, P, F, O
106|3|NULL|1|-1|1|1|M, P, F, O
107|3|NULL|2|-1|1|-1|M, P, F, O
108|3|NULL|1|-1|1|1|M, P, F, O
109|3|NULL|2|-1|-1|-1|M, P, F, O
110|3|NULL|1|-1|1|1|M, P, F, O
111|3|NULL|2|-1|1|-1|M, P, F, O
112|3|NULL|1|-1|1|1|M, P, F, O
113|3|NULL|2|-1|1|-1|M, P, F, O
114|3|NULL|1|-1|1|1|M, P, F, O
115|3|NULL|1|-1|1|1|M, P, F, O
116|3|NULL|1|-1|1|1|M, P, F, O
117|3|NULL|2|-1|-1|-1|M, P, F, O
118|3|NULL|1|-1|1|1|M, P, F, O
119|3|NULL|2|-1|-1|-1|M, P, F, O
120|3|NULL|1|-1|1|-1|M, P, F, O
121|3|NULL|2|-1|1|-1|M, P, F, O
122|3|NULL|1|-1|1|1|M, P, F, O
123|3|NULL|1|-1|1|1|M, P, F, O
124|3|NULL|2|-1|-1|1|M, P, F, O
125|3|NULL|1|-1|1|1|M, P, F, O
126|3|NULL|1|-1|1|1|M, P, F, O
127|3|NULL|1|-1|1|1|M, P, F, O
128|3|NULL|1|-1|-1|-1|M, P, F, O
129|3|NULL|1|-1|1|1|M, P, F, O
130|3|NULL|1|-1|-1|-1|M, P, F, O
131|3|NULL|1|-1|1|1|M, P, F, O
132|4|NULL|1|-1|1|1|M, P, F, O
133|4|NULL|2|-1|1|-1|M, P, F, O
134|4|NULL|1|-1|1|1|M, P, F, O
135|4|NULL|2|-1|1|-1|M, P, F, O
136|4|NULL|1|-1|1|1|M, P, F, O
137|4|NULL|2|-1|1|-1|M, P, F, O
138|4|NULL|1|-1|1|1|M, P, F, O
139|4|NULL|2|-1|-1|-1|M, P, F, O
140|4|NULL|2|-1|1|1|M, P, F, O
141|4|NULL|1|-1|1|1|M, P, F, O
142|4|NULL|2|-1|1|-1|M, P, F, O
143|4|NULL|1|-1|1|1|M, P, F, O
144|4|NULL|2|-1|-1|-1|M, P, F, O
145|4|NULL|1|-1|1|1|M, P, F, O
146|4|NULL|2|-1|1|-1|M, P, F, O
147|4|NULL|1|-1|1|1|M, P, F, O
148|4|NULL|2|-1|1|-1|M, P, F, O
149|4|NULL|1|-1|1|1|M, P, F, O
150|4|NULL|1|-1|1|1|M, P, F, O
151|4|NULL|1|-1|1|1|M, P, F, O
152|4|NULL|2|-1|-1|-1|M, P, F, O
153|4|NULL|1|-1|1|1|M, P, F, O
154|4|NULL|2|-1|-1|-1|M, P, F, O
155|4|NULL|1|-1|1|-1|M, P, F, O
156|4|NULL|2|-1|1|-1|M, P, F, O
157|4|NULL|1|-1|1|1|M, P, F, O
158|4|NULL|1|-1|1|1|M, P, F, O
159|4|NULL|2|-1|-1|1|M, P, F, O
160|4|NULL|1|-1|1|1|M, P, F, O
161|4|NULL|1|-1|1|1|M, P, F, O
162|4|NULL|1|-1|1|1|M, P, F, O
163|4|NULL|1|-1|-1|-1|M, P, F, O
164|4|NULL|1|-1|1|1|M, P, F, O
165|4|NULL|1|-1|-1|-1|M, P, F, O
166|4|NULL|1|-1|1|1|M, P, F, O
167|5|NULL|1|-1|1|1|M, P, F, O
168|5|NULL|1|-1|1|1|M, P, F, O
169|5|NULL|2|-1|-1|1|M, P, F, O
170|6|NULL|1|-1|-1|-1|M, P, F, O
171|6|NULL|1|-1|1|1|M, P, F, O
172|7|NULL|1|-1|1|1|M, P, F, O
173|7|NULL|1|-1|1|1|M, P, F, O
174|9|NULL|1|-1|1|-1|M, P, F, O
175|9|NULL|1|-1|-1|1|M, P, F, O
176|9|NULL|2|-1|-1|-1|M, P, F, O
177|9|NULL|1|-1|1|-1|M, P, F, O
178|9|NULL|1|-1|-1|1|M, P, F, O
179|9|NULL|2|-1|-1|-1|M, P, F, O
180|9|NULL|2|-1|-1|-1|M, P, F, O
181|9|NULL|2|-1|1|1|M, P, F, O
182|9|NULL|1|-1|1|-1|M, P, F, O
183|9|NULL|1|-1|-1|1|M, P, F, O
184|9|NULL|2|-1|1|-1|M, P, F, O
185|9|NULL|2|-1|-1|1|M, P, F, O
186|9|NULL|1|-1|-1|-1|M, P, F, O
187|9|NULL|1|-1|-1|1|M, P, F, O
188|9|NULL|2|-1|1|-1|M, P, F, O
189|9|NULL|1|-1|1|-1|M, P, F, O
190|9|NULL|1|-1|-1|1|M, P, F, O
191|9|NULL|2|-1|-1|-1|M, P, F, O
192|9|NULL|2|-1|1|1|M, P, F, O
193|9|NULL|1|-1|1|-1|M, P, F, O
194|9|NULL|1|-1|-1|1|M, P, F, O
195|9|NULL|2|-1|-1|-1|M, P, F, O
196|9|NULL|2|-1|1|1|M, P, F, O
197|9|NULL|1|-1|-1|-1|M, P, F, O
198|9|NULL|1|-1|-1|1|M, P, F, O
199|9|NULL|1|-1|-1|-1|M, P, F, O
200|9|NULL|1|-1|-1|1|M, P, F, O
201|9|NULL|1|-1|-1|-1|M, P, F, O
202|9|NULL|1|-1|-1|1|M, P, F, O
203|9|NULL|2|-1|1|-1|M, P, F, O
204|9|NULL|1|-1|-1|-1|M, P, F, O
205|9|NULL|1|-1|-1|1|M, P, F, O
206|9|NULL|2|-1|1|-1|M, P, F, O
207|9|NULL|2|-1|1|1|M, P, F, O
208|9|NULL|1|-1|-1|-1|M, P, F, O
209|9|NULL|1|-1|1|1|M, P, F, O
210|9|NULL|1|-1|-1|-1|M, P, F, O
211|9|NULL|1|-1|-1|1|M, P, F, O
212|9|NULL|1|-1|-1|-1|M, P, F, O
213|9|NULL|1|-1|-1|1|M, P, F, O
214|9|NULL|2|-1|1|-1|M, P, F, O
215|9|NULL|2|-1|-1|1|M, P, F, O
216|9|NULL|1|-1|-1|-1|M, P, F, O
217|9|NULL|1|-1|-1|1|M, P, F, O
218|9|NULL|1|-1|-1|-1|M, P, F, O
219|9|NULL|1|-1|-1|1|M, P, F, O
220|9|NULL|1|-1|1|-1|M, P, F, O
221|9|NULL|1|-1|-1|1|M, P, F, O
222|9|NULL|1|-1|1|-1|M, P, F, O
223|9|NULL|1|-1|-1|1|M, P, F, O
224|9|NULL|2|-1|-1|-1|M, P, F, O
225|9|NULL|2|-1|1|1|M, P, F, O
226|9|NULL|1|-1|1|-1|M, P, F, O
227|9|NULL|1|-1|-1|1|M, P, F, O
228|9|NULL|2|-1|-1|-1|M, P, F, O
229|9|NULL|2|-1|1|1|M, P, F, O
230|10|NULL|1|-1|-1|-1|M, P, F, O
231|10|NULL|1|-1|-1|-1|M, P, F, O
232|10|NULL|2|-1|-1|-1|M, P, F, O
233|10|NULL|2|-1|1|1|M, P, F, O
234|10|NULL|1|-1|-1|-1|M, P, F, O
235|10|NULL|2|-1|1|-1|M, P, F, O
236|10|NULL|1|-1|-1|-1|M, P, F, O
237|10|NULL|1|-1|-1|-1|M, P, F, O
238|10|NULL|2|-1|1|1|M, P, F, O
239|10|NULL|1|-1|-1|-1|M, P, F, O
240|10|NULL|2|-1|1|1|M, P, F, O
241|10|NULL|1|-1|-1|-1|M, P, F, O
242|10|NULL|1|-1|-1|-1|M, P, F, O
243|10|NULL|1|-1|-1|-1|M, P, F, O
244|10|NULL|1|-1|-1|-1|M, P, F, O
245|10|NULL|2|-1|1|1|M, P, F, O
246|10|NULL|1|-1|1|1|M, P, F, O
247|10|NULL|1|-1|-1|-1|M, P, F, O
248|10|NULL|1|-1|-1|-1|M, P, F, O
249|10|NULL|2|-1|1|-1|M, P, F, O
250|10|NULL|1|-1|-1|-1|M, P, F, O
251|10|NULL|1|-1|-1|-1|M, P, F, O
252|10|NULL|1|-1|-1|-1|M, P, F, O
253|10|NULL|2|-1|-1|-1|M, P, F, O
254|10|NULL|2|-1|1|1|M, P, F, O
255|10|NULL|2|-1|-1|-1|M, P, F, O
256|10|NULL|2|-1|1|1|M, P, F, O
257|11|NULL|1|-1|1|1|M, P, F, O
258|11|NULL|2|-1|1|-1|M, P, F, O
259|11|NULL|1|-1|1|1|M, P, F, O
260|11|NULL|2|-1|1|-1|M, P, F, O
261|11|NULL|1|-1|1|1|M, P, F, O
262|11|NULL|2|-1|-1|-1|M, P, F, O
263|11|NULL|2|-1|1|1|M, P, F, O
