ID_GEST_DEFA_STOC_TIP_PRODUSE|ID_GEST_TIP_STOC|ID_GEST_TIP_DOCUM|PREDATOR|ID_GEST_TIP_PRODUSE|SEMN|SEMN_ITEMS|id_gest_defa_Docum
-----------------------------|----------------|-----------------|--------|-------------------|----|----------|------------------
63|1|15|1|1|1|-1|NULL
64|1|15|1|7|1|-1|NULL
110|8|43|2|7|1|-1|NULL
218|8|48|1|16|-1|-1|NULL
219|8|48|1|7|-1|-1|NULL
220|8|48|2|16|1|1|NULL
221|8|48|2|7|1|1|NULL
224|8|48|2|16|1|-1|NULL
225|8|48|2|7|1|-1|NULL
252|30|51|1|17|-1|1|NULL
254|30|51|1|17|-1|-1|NULL
256|4|51|2|17|1|1|NULL
258|4|51|2|17|1|-1|NULL
271|1|52|1|1|1|-1|NULL
272|1|52|1|7|1|-1|NULL
297|1|56|2|1|1|1|NULL
298|1|56|2|7|1|1|NULL
301|1|56|2|1|1|-1|NULL
302|1|56|2|7|1|-1|NULL
305|3|56|1|1|1|1|NULL
306|3|56|1|7|1|1|NULL
309|3|56|1|1|1|-1|NULL
310|3|56|1|7|1|-1|NULL
311|8|48|1|16|-1|1|NULL
312|8|48|1|7|-1|1|NULL
333|1|52|1|1|1|1|NULL
334|1|52|1|7|1|1|NULL
347|1|15|1|1|1|1|NULL
348|1|15|1|7|1|1|NULL
380|10|42|2|1|1|-1|NULL
381|10|42|2|16|1|-1|NULL
382|10|42|2|7|1|-1|NULL
391|1|42|1|1|-1|1|NULL
392|1|42|1|7|-1|1|NULL
393|1|42|1|1|-1|-1|NULL
394|1|42|1|7|-1|-1|NULL
396|8|42|1|16|-1|1|NULL
398|8|42|1|16|-1|-1|NULL
399|10|42|2|1|1|1|NULL
400|10|42|2|16|1|1|NULL
401|10|42|2|7|1|1|NULL
411|8|43|2|7|1|1|NULL
439|8|18|2|1|1|1|NULL
440|8|18|2|16|1|1|NULL
441|8|18|2|7|1|1|NULL
445|8|18|2|1|1|-1|NULL
446|8|18|2|16|1|-1|NULL
447|8|18|2|7|1|-1|NULL
454|8|18|1|1|-1|1|NULL
455|8|18|1|16|-1|1|NULL
456|8|18|1|7|-1|1|NULL
460|8|18|1|1|-1|-1|NULL
461|8|18|1|16|-1|-1|NULL
462|8|18|1|7|-1|-1|NULL
464|1|61|1|1|-1|1|NULL
466|1|61|1|1|-1|-1|NULL
468|1|61|2|1|1|1|NULL
470|1|61|2|1|1|-1|NULL
490|8|15|1|16|1|1|NULL
491|8|15|1|16|1|-1|NULL
493|31|62|1|18|1|1|NULL
495|31|62|1|18|1|-1|NULL
509|31|15|1|18|1|1|NULL
511|31|15|1|18|1|-1|NULL
524|8|52|1|16|1|1|NULL
525|8|52|1|16|1|-1|NULL
526|31|52|1|18|1|1|NULL
527|31|52|1|18|1|-1|NULL
584|1|59|1|1|-1|1|NULL
585|1|59|1|19|-1|1|NULL
588|1|59|1|1|-1|-1|NULL
589|1|59|1|19|-1|-1|NULL
592|2|59|2|1|1|1|NULL
593|2|59|2|19|1|1|NULL
596|2|59|2|1|1|-1|NULL
597|2|59|2|19|1|-1|NULL
610|31|59|1|1|-1|1|NULL
611|31|59|1|19|-1|1|NULL
614|31|59|1|1|-1|-1|NULL
615|31|59|1|19|-1|-1|NULL
630|1|45|1|1|-1|1|NULL
631|1|45|1|20|-1|1|NULL
634|1|45|1|1|-1|-1|NULL
635|1|45|1|20|-1|-1|NULL
642|1|45|2|1|1|1|NULL
643|1|45|2|20|1|1|NULL
646|1|45|2|1|1|-1|NULL
647|1|45|2|20|1|-1|NULL
661|1|43|1|7|-1|-1|NULL
662|1|43|1|9|-1|-1|NULL
665|1|43|1|7|-1|1|NULL
666|1|43|1|9|-1|1|NULL
742|1|61|1|1|-1|1|269
744|1|61|1|1|-1|-1|269
746|1|61|2|1|1|1|269
748|1|61|2|1|1|-1|269
751|1|42|1|1|-1|1|207
752|1|42|1|7|-1|1|207
755|1|42|1|1|-1|-1|207
756|1|42|1|7|-1|-1|207
759|8|42|1|1|-1|1|207
760|8|42|1|7|-1|1|207
763|8|42|1|1|-1|-1|207
764|8|42|1|7|-1|-1|207
767|10|42|2|16|1|1|207
768|10|42|2|7|1|1|207
772|10|42|2|1|1|-1|207
773|10|42|2|16|1|-1|207
774|10|42|2|7|1|-1|207
777|1|52|1|1|1|1|233
778|1|52|1|7|1|1|233
781|1|52|1|1|1|-1|233
782|1|52|1|7|1|-1|233
788|8|52|1|7|1|-1|233
790|8|52|1|7|1|1|233
792|31|52|1|18|1|1|233
794|31|52|1|18|1|-1|233
839|1|56|2|1|1|1|256
840|1|56|2|7|1|1|256
843|1|56|2|1|1|-1|256
844|1|56|2|7|1|-1|256
847|3|56|1|1|1|1|256
848|3|56|1|7|1|1|256
851|3|56|1|1|1|-1|256
852|3|56|1|7|1|-1|256
1261|1|54|1|19|-1|1|252
1263|1|54|1|19|-1|-1|252
1265|2|54|2|19|1|1|252
1267|2|54|2|19|1|-1|252
1269|31|54|1|19|-1|1|252
1271|31|54|1|19|-1|-1|252
1581|1|4|2|1|1|-1|258
1582|1|4|2|20|1|-1|258
1583|1|4|2|7|1|-1|258
1619|8|4|2|16|1|-1|14
1623|30|4|2|17|1|-1|14
1627|31|4|2|18|1|-1|14
1631|32|4|2|9|1|-1|14
1633|8|4|2|16|1|1|258
1635|8|4|2|16|1|-1|258
1637|30|4|2|17|1|1|258
1639|30|4|2|17|1|-1|258
1641|31|4|2|18|1|1|258
1643|31|4|2|18|1|-1|258
1645|32|4|2|9|1|1|258
1647|32|4|2|9|1|-1|258
1708|1|59|1|18|-1|1|268
1709|1|59|1|19|-1|1|268
1710|1|59|1|20|-1|1|268
1714|1|59|1|18|-1|-1|268
1715|1|59|1|19|-1|-1|268
1716|1|59|1|20|-1|-1|268
1721|2|59|2|1|1|1|268
1722|2|59|2|18|1|1|268
1723|2|59|2|19|1|1|268
