FIELD_NAME|CAPTION|VISIBLE|READONLY|REQUIRED|FORMULA_CALCUL|PRECEDENTA|SEMN_ITEMS
----------|-------|-------|--------|--------|--------------|----------|----------
ID_GEST_TIP_DOCUM|ID_GEST_TIP_DOCUM|0|0|0|NULL|NULL|NULL
ID_PREDATOR|ID_PREDATOR|0|0|0|NULL|NULL|NULL
ID_PRIMITOR|ID_PRIMITOR|0|0|0|NULL|NULL|NULL
NR_DOCUM|NR_DOCUM|0|0|0|NULL|NULL|NULL
DATA_DOCUM|DATA_DOCUM|0|0|0|NULL|NULL|NULL
TOTALDOC|TOTALDOC|0|0|0|NULL|NULL|NULL
COST_MARFA|COST_MARFA|0|0|0|NULL|NULL|NULL
TOTALTVA|TOTALTVA|0|0|0|NULL|NULL|NULL
TIP_PRET|TIP_PRET|0|0|0|NULL|NULL|NULL
TIP_ADAOS|TIP_ADAOS|0|0|0|NULL|NULL|NULL
COTA_ADAOS|COTA_ADAOS|0|0|0|NULL|NULL|NULL
ADAOS|ADAOS|0|0|0|NULL|NULL|NULL
TIP_DISCNT|TIP_DISCNT|0|0|0|NULL|NULL|NULL
COTA_DISCNT|COTA_DISCNT|0|0|0|NULL|NULL|NULL
DISCOUNT|DISCOUNT|0|0|0|NULL|NULL|NULL
ACCIZE|ACCIZE|0|0|0|NULL|NULL|NULL
VALACCIZE|VALACCIZE|0|0|0|NULL|NULL|NULL
ID_UTILIZATORI|ID_UTILIZATORI|0|0|0|NULL|NULL|NULL
PACHET|Adresa destinatie|0|0|0|NULL|NULL|NULL
NR_LIST|NR_LIST|0|0|0|NULL|NULL|NULL
LINE|LINE|0|0|0|NULL|NULL|NULL
NUME_DELEGAT|NUME_DELEGAT|0|0|0|NULL|NULL|NULL
MIJLTRANSPORT|MIJLTRANSPORT|0|0|0|NULL|NULL|NULL
TOTALVALUT|TOTALVALUT|0|0|0|NULL|NULL|NULL
ID_TIP_VALUTA|ID_TIP_VALUTA|0|0|0|NULL|NULL|NULL
CURS_SCHIMB|CURS_SCHIMB|0|0|0|NULL|NULL|NULL
CURS_FIRMA|CURS_FIRMA|0|0|0|NULL|NULL|NULL
ACHITAT|ACHITAT|0|0|0|NULL|NULL|NULL
COD_CPV|COD CPV|1|0|0|NULL|NULL|NULL
PE_DRUM|PE_DRUM|0|0|0|NULL|NULL|NULL
TRANSMIS|TRANSMIS|0|0|0|NULL|NULL|NULL
EMIS_HQ|EMIS_HQ|0|0|0|NULL|NULL|NULL
CONDLVR|CONDLVR|0|0|0|NULL|NULL|NULL
NPRODUS|NPRODUS|0|0|0|NULL|NULL|NULL
EXPLICATIE|EXPLICATIE|0|0|0|NULL|NULL|NULL
ID_CULGEST_DOCUM|ID_CULGEST_DOCUM|0|0|0|NULL|NULL|NULL
ID_GEST_DEFA_DOCUM|ID_GEST_DEFA_DOCUM|0|0|0|NULL|NULL|NULL
ID_INITIAL|ID_INITIAL|0|0|0|NULL|NULL|NULL
ID_MODIFICARE|ID_MODIFICARE|0|0|0|NULL|NULL|NULL
CONT_CONTABIL|CONT_CONTABIL|0|0|0|NULL|NULL|NULL
ID_REPARTITORI_DELEGATI|ID_REPARTITORI_DELEGATI|0|0|0|NULL|NULL|NULL
ID_REPARTITORI_MIJLOACE_TRANSPORT|ID_REPARTITORI_MIJLOACE_TRANSPORT|0|0|0|NULL|NULL|NULL
TVA_TRANSPORT|TVA_TRANSPORT|0|0|0|NULL|NULL|NULL
VALOARE_TRANSPORT|VALOARE_TRANSPORT|0|0|0|NULL|NULL|NULL
ID_DOCUMENT_CONEX|ID_DOCUMENT_CONEX|0|0|0|NULL|NULL|NULL
ID_TRANZACTIE|ID_TRANZACTIE|0|0|0|NULL|NULL|NULL
AUTOGENERAT|AUTOGENERAT|0|0|0|NULL|NULL|NULL
ID_CURSURI|ID_CURSURI|0|0|0|NULL|NULL|NULL
DECONT_COD_CB|DECONT_COD_CB|0|0|0|NULL|NULL|NULL
DECONT_NRDOC|DECONT_NRDOC|0|0|0|NULL|NULL|NULL
DECONT_DATA|DATA_PV|0|0|0|NULL|NULL|NULL
DECONT_TIPDOC|DECONT_TIPDOC|0|0|0|NULL|NULL|NULL
DECONT_GENERATE|DECONT_GENERATE|0|0|0|NULL|NULL|NULL
NR_CHITANTA|NR_Chitanta|0|0|0|NULL|NULL|NULL
DATA_CHITANTA|DATA_PV|0|0|0|NULL|NULL|NULL
NR_DOC_CONEX|NR_DOC_CONEX|0|0|0|NULL|NULL|NULL
DATA_DOC_CONEX|DATA_DOC_CONEX|0|0|0|NULL|NULL|NULL
SE_GEN_CHITANTA|SE_GEN_CHITANTA|0|0|0|NULL|NULL|NULL
TethysId|TethysId|0|0|0|NULL|NULL|NULL
NOTA_AUTOMAT|NOTA_AUTOMAT|0|0|0|NULL|NULL|NULL
NR_NOTA|Nr Nota|1|0|0|NULL|NULL|NULL
DATA_NOTA|Data Nota|1|0|0|NULL|NULL|NULL
DESCRIERE_CURS|NR_PV|1|0|0|NULL|NULL|NULL
DATA_EMITERE|Data PV|1|0|0|NULL|NULL|NULL
DATA_SCADENTA|Data scadenta|1|0|0||NULL|NULL
