FIELD_NAME|CAPTION|VISIBLE|READONLY|REQUIRED|FORMULA_CALCUL|PRECEDENTA|SUM_TOTAL
----------|-------|-------|--------|--------|--------------|----------|---------
STARE|STARE|0|0|0|NULL|NULL|NULL
ID_CULGEST_ITEMSI|ID_CULGEST_ITEMSI|0|0|0|NULL|NULL|NULL
ID_CULGEST_DOCUM|ID_CULGEST_DOCUM|0|0|0|NULL|NULL|NULL
DATA_COD|DATA_COD|0|0|0|NULL|NULL|NULL
CODMAT|CODMAT|0|0|0|NULL|NULL|NULL
ID_GEST_SUMATOR|ID_GEST_SUMATOR|0|0|0|NULL|NULL|NULL
LOHN|LOHN|0|0|0|NULL|NULL|NULL
PRODUS|Produs|1|0|0|NULL|NULL|NULL
LOT_FABRICATIE|LOT_FABRICATIE|0|0|0|NULL|NULL|NULL
CATEGORIE_GRUPARE|CATEGORIE_GRUPARE|0|0|0|NULL|NULL|NULL
TIPMAT|Clasa Material|1|0|0|NULL|NULL|NULL
DENMAT|Denumire Material|1|0|0|NULL|NULL|NULL
ID_GEST_TIP_MATERIAL|Tip Material|1|0|0|NULL|NULL|NULL
TIP_MATERIAL|Tip Material|0|0|0|NULL|NULL|NULL
UM|UM|1|0|0|NULL|NULL|NULL
UM_SUPLIMENTARA|UM_SUPLIMENTARA|0|0|0|NULL|NULL|NULL
CONVERSIE_UM|CONVERSIE_UM|0|0|0|NULL|NULL|NULL
CANTITATE_SUPLIMENTARA|CANTITATE_SUPLIMENTARA|0|0|0|CANTITATE*CONVERSIE_UM|NULL|1
DATA_EXPIRARE|DATA_EXPIRARE|0|0|0|NULL|NULL|NULL
ID_GEST_TIP_STOCK|ID_GEST_TIP_STOCK|0|0|0|NULL|NULL|NULL
STOCK_BEFORE|STOCK_BEFORE|0|0|0|NULL|NULL|NULL
CANTITATE_ESTIMATA|CANTITATE_ESTIMATA|0|0|0|NULL|NULL|1
CANTITATE|Cantitate|1|0|0|NULL|NULL|1
STOCK_AFTER|STOCK_AFTER|0|0|0|NULL|NULL|NULL
PRET_UNITAR|Pret Unitar|1|0|0||NULL|NULL
TVA|TVA|0|0|0|NULL|NULL|NULL
COTA_TVA|Cota TVA|1|0|0|NULL|NULL|NULL
PRET_RECEPTIE|PRET_RECEPTIE|0|0|0|PRET_UNITAR|1|NULL
PRET_RECEPTIE_TVA|PRET_RECEPTIE_TVA|0|0|0|PRET_RECEPTIE*(1+ISNULL(COTA_TVA,0)/100)|2|NULL
VALOARE_RECEPTIE|Valoare Fara TVA|1|0|0|PRET_RECEPTIE*CANTITATE|4|1
DETALII_ANGAJAMENT|Detalii Angajament|0|0|0|NULL|NULL|NULL
TVA_RECEPTIE|Tva Receptie|1|0|0|VALOARE_RECEPTIE*ISNULL(COTA_TVA,0)/100|3|1
VALOARE_RECEPTIE_TVA|Valoare Receptie cu TVA|1|1|0|VALOARE_RECEPTIE + TVA_RECEPTIE|5|1
PRET_RECEPTIE_VALUTA|PRET_RECEPTIE_VALUTA|0|0|0|NULL|NULL|NULL
TIP_VALUTA_RECEPTIE|TIP_VALUTA_RECEPTIE|0|0|0||NULL|NULL
VALOARE_RECEPTIE_VALUTA|VALOARE_RECEPTIE_VALUTA|0|0|0||NULL|NULL
PRET_LIVRARE|PRET_LIVRARE|0|0|0|NULL|NULL|NULL
PRET_LIVRARE_TVA|PRET_LIVRARE_TVA|0|0|0||NULL|NULL
VALOARE_LIVRARE|VALOARE_LIVRARE|0|0|0||NULL|NULL
TVA_LIVRARE|TVA_LIVRARE|0|0|0||NULL|NULL
VALOARE_LIVRARE_TVA|VALOARE_LIVRARE_TVA|0|0|0||NULL|NULL
PRET_LIVRARE_VALUTA|PRET_LIVRARE_VALUTA|0|0|0|NULL|NULL|NULL
TIP_VALUTA_LIVRARE|TIP_VALUTA_LIVRARE|0|0|0|NULL|NULL|NULL
VALOARE_LIVRARE_VALUTA|VALOARE_LIVRARE_VALUTA|0|0|0||NULL|NULL
COD_TARIF_VAMAL|COD_TARIF_VAMAL|0|0|0|NULL|NULL|NULL
TVA_AMANAT|TVA_AMANAT|0|0|0|NULL|NULL|NULL
ADAOS|ADAOS|0|0|0|NULL|NULL|NULL
COTA_ADAOS|COTA_ADAOS|0|0|0|NULL|NULL|NULL
ADAOS_IMPUS|ADAOS_IMPUS|0|0|0|NULL|NULL|NULL
COTA_ADAOS_IMPUS|COTA_ADAOS_IMPUS|0|0|0|NULL|NULL|NULL
ID_ANGAJAMENTE_DEFALCARE|ID_ANGAJAMENTE_DEFALCARE|0|0|0|NULL|NULL|NULL
COD_FUNCTIONAL|COD_FUNCTIONAL|0|0|0|NULL|NULL|NULL
COD_ECONOMIC|COD_ECONOMIC|0|0|0|NULL|NULL|NULL
ID_UTILIZATORI|ID_UTILIZATORI|0|0|0|NULL|NULL|NULL
SEMN_CANTITATE|SEMN_CANTITATE|0|0|0|NULL|NULL|NULL
SE_EMITE|SE_EMITE|0|0|0|NULL|NULL|NULL
NR_CHITANTA|NR_CHITANTA|0|0|0|NULL|NULL|NULL
id_analitic|id_analitic|0|0|0|NULL|NULL|NULL
cod_proiect|cod_proiect|0|0|0|NULL|NULL|NULL
data_garantie|data_garantie|0|0|0|NULL|NULL|NULL
COD_BARA|COD_BARA|0|0|0|NULL|NULL|NULL
ContD|ContD|0|0|0|NULL|NULL|NULL
ContC|ContC|0|0|0|NULL|NULL|NULL
idGestCategorii|idGestCategorii|0|0|0|NULL|NULL|NULL
RepD|RepD|0|0|0|NULL|NULL|NULL
RepC|RepC|0|0|0|NULL|NULL|NULL
