id_gest_defa_docum_nota_model|id_gest_defa_docum|idGestCategorii|peDoc|formula_nota|ContDebit|ContCredit|repartitorDebit|repartitorCredit|codFunctional|codEconomic|idAngajamenteDefalcare|prefixExplicatie|sufixExplicatie|explicatie|id_gest_tip_material
-----------------------------|------------------|---------------|-----|------------|---------|----------|---------------|----------------|-------------|-----------|----------------------|----------------|---------------|----------|--------------------
1|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3022')|isnull(gest_itemsi.ContC, '5324.01')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|5
2|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3021')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|4
3|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3022')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|5
4|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3023')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|6
5|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3024')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|7
6|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3025')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|8
7|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3026')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|9
8|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3027')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|10
9|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3028.01')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|900
10|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3028.02')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|909
11|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3028.03')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|901
12|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3028.04')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|898
13|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3028.06')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|910
14|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3029.01')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|911
15|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3029.02')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|912
