defa|FIELD_NAME|CAPTION|VISIBLE|REQUIRED|formula
----|----------|-------|-------|--------|-------
33|DATA_EMITERE|DATA_PV|1|0|
33|DESCRIERE_CURS|NR_PV|1|0|
33|NR_NOTA|NR_NOTA|1|0|
33|DATA_NOTA|DATA_NOTA|1|0|
47|NR_NOTA|Nr Nota|1|0|
47|DATA_NOTA|Data Nota|1|0|
47|DESCRIERE_CURS|NR_PV|1|0|
47|DATA_EMITERE|Data PV|1|0|
47|DATA_SCADENTA|Data scadenta|1|0|data_docum + 30
65|NR_NOTA|Nr Nota|1|0|
65|DATA_NOTA|Data Nota|1|0|
289|DATA_EMITERE|DATA_PV|1|0|
289|DESCRIERE_CURS|NR_PV|1|0|
289|NR_NOTA|NR_NOTA|1|0|
289|DATA_NOTA|DATA_NOTA|1|0|

(15 rows affected)
