ID_GEST_DEFA_DOCUM|nr
------------------|--
6|33
33|1
47|1
50|1
65|12
69|1
207|5
210|1
212|2
220|1
225|2
254|2
261|141
265|141
268|2
279|1
282|3
283|2
286|1
289|4
293|14
295|2
296|2
301|1

(24 rows affected)
defa|FIELD_NAME|CAPTION|VISIBLE|REQUIRED|formula
----|----------|-------|-------|--------|-------
33|CODMAT|CODMAT|1|0|
33|ID_GEST_SUMATOR|ID_GEST_SUMATOR|1|0|
33|PRODUS|PRODUS|1|0|
33|TIPMAT|TIPMAT|1|0|
33|DENMAT|DENMAT|1|0|
33|ID_GEST_TIP_MATERIAL|ID_GEST_TIP_MATERIAL|1|0|
33|UM|UM|1|0|
33|CANTITATE|CANTITATE|1|0|
33|CANTITATE_SUPLIMENTARA|CANTITATE_SUPLIMENTARA|0|1|
33|STOCK_AFTER|STOCK_AFTER|1|0|
33|PRET_UNITAR|PRET_UNITAR|1|0|
33|PRET_RECEPTIE|PRET_RECEPTIE|0|0|PRET_UNITAR
33|PRET_RECEPTIE_TVA|PRET_RECEPTIE_TVA|0|0|PRET_RECEPTIE
33|VALOARE_RECEPTIE|VALOARE_RECEPTIE|0|0|PRET_RECEPTIE*CANTITATE
33|TVA_RECEPTIE|TVA_RECEPTIE|0|0|VALOARE_RECEPTIE * ISNULL(COTA_TVA, 0)
33|DETALII_ANGAJAMENT|DETALII_ANGAJAMENT|1|0|
33|VALOARE_RECEPTIE_TVA|Valoare Receptie TVA|1|0|PRET_RECEPTIE*CANTITATE
33|TIP_VALUTA_RECEPTIE|TIP_VALUTA_RECEPTIE|0|0|1
33|VALOARE_RECEPTIE_VALUTA|VALOARE_RECEPTIE_VALUTA|0|0|PRET_RECEPTIE*CANTITATE
33|PRET_LIVRARE|PRET_LIVRARE|0|0|PRET_UNITAR
33|VALOARE_LIVRARE|VALOARE_LIVRARE|0|0|PRET_LIVRARE * CANTITATE
33|TVA_LIVRARE|TVA_LIVRARE|0|0|VALOARE_LIVRARE * ISNULL(COTA_TVA, 0)
33|VALOARE_LIVRARE_TVA|VALOARE_LIVRARE_TVA|0|0|VALOARE_LIVRARE + TVA_LIVRARE
33|VALOARE_LIVRARE_VALUTA|VALOARE_LIVRARE_VALUTA|0|1|PRET_RECEPTIE*CANTITATE
33|ID_ANGAJAMENTE_DEFALCARE|ID_ANGAJAMENTE_DEFALCARE|1|0|
33|COD_FUNCTIONAL|COD_FUNCTIONAL|1|0|
33|COD_ECONOMIC|COD_ECONOMIC|1|0|
33|ContD|ContD|1|0|
33|ContC|ContC|1|0|
47|COD_CPV|COD CPV|1|0|
47|PRODUS|Produs|1|0|
47|ID_GEST_TIP_MATERIAL|Tip Material|1|0|
47|DENMAT|Denumire Material|1|0|
47|UM|UM|1|0|
47|CANTITATE_SUPLIMENTARA|CANTITATE_SUPLIMENTARA|0|0|CANTITATE*CONVERSIE_UM
47|CANTITATE|Cantitate|1|1|
47|PRET_UNITAR|Pret Unitar|1|0|
47|COTA_TVA|Cota TVA|0|0|0
47|PRET_LIVRARE|PRET_LIVRARE|1|0|PRET_UNITAR
47|PRET_LIVRARE_TVA|PRET_LIVRARE_TVA|0|0|PRET_LIVRARE * (1 + isnull(cota_tva,0) / 100)
47|VALOARE_LIVRARE|Valoare Livrare|1|0|PRET_LIVRARE * CANTITATE
47|VALOARE_RECEPTIE|VALOARE|1|0|PRET_RECEPTIE * CANTITATE
47|TVA_RECEPTIE|Tva Receptie|0|0|VALOARE_RECEPTIE * ISNULL (COTA_TVA,0)
47|VALOARE_RECEPTIE_TVA|Valoare Receptie cu TVA|0|0|VALOARE_RECEPTIE + TVA_RECEPTIE
47|PRET_RECEPTIE|PRET_RECEPTIE|0|0|PRET_UNITAR
47|PRET_RECEPTIE_TVA|PRET_RECEPTIE_TVA|0|0|PRET_RECEPTIE * (1+isnull(cota_tva,0)/100)
47|TVA_LIVRARE|TVA_LIVRARE|0|0|VALOARE_LIVRARE * ISNULL(COTA_TVA,0)
47|VALOARE_LIVRARE_TVA|VALOARE_LIVRARE_TVA|0|0|VALOARE_LIVRARE + TVA_LIVRARE
47|DETALII_ANGAJAMENT|Detalii Angajament|1|0|
47|ContD|ContD|1|0|
47|ContC|ContC|1|1|
65|ID_GEST_SUMATOR|ID_GEST_SUMATOR|1|0|
65|PRODUS|PRODUS|1|0|
65|TIPMAT|TIPMAT|1|0|
65|DENMAT|DENMAT|1|0|
65|ID_GEST_TIP_MATERIAL|ID_GEST_TIP_MATERIAL|1|0|
65|UM|UM|1|0|
65|CANTITATE|CANTITATE|1|0|
65|CANTITATE_SUPLIMENTARA|CANTITATE_SUPLIMENTARA|0|1|
65|PRET_UNITAR|PRET_UNITAR|1|0|
65|PRET_RECEPTIE|PRET_RECEPTIE|0|0|PRET_UNITAR
65|PRET_RECEPTIE_TVA|PRET_RECEPTIE_TVA|0|0|PRET_RECEPTIE
65|VALOARE_RECEPTIE|VALOARE_RECEPTIE|0|0|PRET_RECEPTIE*CANTITATE
65|TVA_RECEPTIE|TVA_RECEPTIE|0|0|VALOARE_RECEPTIE * ISNULL(COTA_TVA, 0)
65|DETALII_ANGAJAMENT|DETALII_ANGAJAMENT|1|0|
65|VALOARE_RECEPTIE_TVA|Valoare Receptie TVA|1|0|VALOARE_RECEPTIE + TVA_RECEPTIE
65|TIP_VALUTA_RECEPTIE|TIP_VALUTA_RECEPTIE|0|0|1
65|VALOARE_RECEPTIE_VALUTA|VALOARE_RECEPTIE_VALUTA|0|0|PRET_RECEPTIE*CANTITATE
65|PRET_LIVRARE|PRET_LIVRARE|0|0|PRET_UNITAR
65|PRET_LIVRARE_TVA|PRET_LIVRARE_TVA|0|0|PRET_LIVRARE * (1 + isnull(cota_tva,0) / 100)
65|VALOARE_LIVRARE|VALOARE_LIVRARE|0|0|PRET_LIVRARE * CANTITATE
65|TVA_LIVRARE|TVA_LIVRARE|0|0|VALOARE_LIVRARE * ISNULL(COTA_TVA, 0)
65|VALOARE_LIVRARE_TVA|VALOARE_LIVRARE_TVA|0|0|VALOARE_LIVRARE + TVA_LIVRARE
65|VALOARE_LIVRARE_VALUTA|VALOARE_LIVRARE_VALUTA|0|1|PRET_RECEPTIE*CANTITATE
65|ID_ANGAJAMENTE_DEFALCARE|ID_ANGAJAMENTE_DEFALCARE|1|0|
65|COD_FUNCTIONAL|COD_FUNCTIONAL|1|0|
65|COD_ECONOMIC|COD_ECONOMIC|1|0|
270|ID_GEST_TIP_MATERIAL|ID_GEST_TIP_MATERIAL|1|0|
270|CANTITATE|CANTITATE|1|0|
270|PRET_UNITAR|PRET_UNITAR|1|0|
270|TIPMAT|TIPMAT|1|0|
270|DENMAT|DENMAT|1|0|
270|UM|UM|1|0|
270|DATA_EXPIRARE|DATA_EXPIRARE|1|0|
270|TIP_MATERIAL|TIP_MATERIAL|1|0|
270|PRODUS|PRODUS|1|0|
270|DETALII_ANGAJAMENT|DETALII_ANGAJAMENT|1|0|
