ID_GEST_TEMPLATE_VALIDARI|ID_GEST_DEFA_DOCUM|ZILE_GRATIE|PRIORITATE|TIP_VALIDARE|ID_FUNCTIUNE
-------------------------|------------------|-----------|----------|------------|------------
2|7|10|1|3|3
3|14|10|1|3|3
4|17|10|1|3|3
5|18|10|1|3|3
6|19|10|1|3|3
7|20|10|1|3|3
10|66|10|1|3|3
11|67|10|1|3|3
12|68|10|1|3|3
14|70|10|1|3|3
15|71|10|1|3|3
16|72|10|1|3|3
324|81|10|1|3|3
343|157|10|1|3|3
400|163|10|1|3|3
420|181|10|1|3|3
439|57|10|1|3|3
458|73|10|1|3|3
477|188|10|1|3|3
629|198|10|1|3|3
648|204|10|1|3|3
667|203|10|1|3|3
686|202|10|1|3|3
705|207|10|1|3|3
724|210|10|1|3|3
725|212|10|1|3|3
726|214|10|1|3|1
727|216|10|1|3|3
729|210|10|1|3|2
730|218|10|1|3|1
731|207|10|1|3|1
732|212|10|1|3|1
735|220|10|1|3|2
736|210|10|1|3|5
737|220|10|1|3|5
738|65|10|1|3|5
739|207|10|1|3|5
740|212|10|1|3|5
741|6|10|1|3|5
742|218|10|1|3|5
743|163|10|1|3|5
744|33|10|1|3|5
745|214|10|1|3|5
746|223|10|1|3|2
747|223|10|1|3|5
748|225|10|1|3|2
749|225|10|1|3|5
750|NULL|10|2|3|5
751|227|10|1|3|2
752|227|10|2|3|5
753|233|10|1|3|5
758|240|10|1|3|5
761|6|10|1|3|3
763|65|10|1|3|3
765|252|10|1|3|5
766|252|10|1|3|3
767|252|10|1|3|1
768|252|10|1|3|2
770|6|10|1|3|7
771|65|10|1|3|7
772|210|10|1|3|7
773|207|10|1|3|7
774|233|10|1|3|7
775|57|10|1|3|7
776|220|10|1|3|7
777|33|10|1|3|7
778|254|10|1|3|5
779|254|10|1|3|3
780|254|10|1|3|1
781|254|10|1|3|7
782|254|10|1|3|2
785|256|10|1|3|3
786|258|10|1|3|3
787|69|10|1|3|2
788|69|10|1|3|5
789|69|10|1|3|7
790|69|10|1|3|3
791|261|10|1|3|5
792|261|10|1|3|3
793|261|10|1|3|1
794|261|10|1|3|7
795|261|10|1|3|2
796|265|10|1|3|5
797|265|10|1|3|3
798|265|10|1|3|1
799|265|10|1|3|7
800|265|10|1|3|2
801|268|10|1|3|5
802|268|10|1|3|3
803|268|10|1|3|1
804|268|10|1|3|7
805|268|10|1|3|2
806|57|10|1|3|5
807|73|10|1|3|5
808|269|10|1|3|2
809|269|10|1|3|5
810|269|10|1|3|7
811|269|10|1|3|3
813|275|10|1|3|5
816|242|10|1|3|5
817|242|10|1|3|7
818|33|10|1|3|3
819|277|10|1|3|3
820|277|10|1|3|2
821|277|10|1|1|5
822|279|10|1|3|5
823|279|10|1|3|2
824|279|10|1|3|3
825|6|10|1|3|4
826|50|10|1|3|5
827|50|10|1|3|3
828|50|10|1|3|7
830|50|10|1|3|4
831|225|10|1|3|4
834|50|10|1|3|2
835|283|10|1|3|5
836|283|10|1|3|3
837|283|10|1|3|4
838|286|10|1|3|5
839|286|10|1|3|3
840|286|10|1|3|4
841|289|10|1|3|5
842|289|10|1|3|3
843|289|10|1|3|4
844|289|10|1|3|6
845|293|10|1|3|5
846|293|10|1|3|4
847|293|10|1|3|3
849|258|10|1|3|5
850|14|10|1|3|5
851|283|10|1|3|7
852|283|10|1|3|6
1853|270|10|1|3|5
1854|270|10|1|3|7
1855|270|10|1|3|3
1857|47|10|1|3|5
1858|47|10|1|3|3
1860|47|10|1|3|7
1861|47|10|1|3|4
1862|295|10|1|3|5
1863|295|10|1|3|8
1864|295|10|1|3|4
1865|295|10|1|3|3
1866|295|10|1|3|7
1867|296|10|1|3|5
1868|296|10|1|3|8
1869|296|10|1|3|4
1870|296|10|1|3|3
1871|296|10|1|3|7
1872|81|10|1|3|5
1873|81|10|1|3|7
1874|81|10|1|3|4
1875|81|10|1|1|8
