CODUL DE CLASIFICARE|DENUMIREA ACTIVELOR FIXE|DURATE NORMALE  DE FUNCȚIONARE  - ANI -
1.|Grupa 1. CONSTRUCȚII|
1.1.|Construcții industriale|
1.1.1.|Clădiri industriale în afară de clădirile din:|40-60
1.1.1.1.|- industria alimentară, industria materialelor de construcții, industria metalurgică și industria siderurgică;|28-42
1.1.1.2.|- industria chimică.|24-36
1.1.2.|Construcții ușoare cu structuri metalice (hale de producție,  hale de montaj, etc.) în afară de:|16-24
1.1.2.1.|- barăci, șoproane, etc.|8-12
1.1.3.|Centrale hidroelectrice, stații și posturi de transformare, stații de conexiuni, în afară de:|40-60
1.1.3.1.|- construcții speciale metalice;|32-48
1.1.3.2.|- construcții speciale din beton|24-36
1.1.4.|Centrale termoelectrice și nuclearo-electrice, în afară de:|30-48
1.1.4.1.|- clădirea reactorului|24-36
1.1.5.|Piste și platforme|
1.1.5.1.|- din beton;|24-36
1.1.5.2.|- din balast, macadam.|16-24
1.1.6.|Sonde de țiței, gaze, sare și platforme marine de foraj și extracție.|
1.1.6.1.|- sonde de țiței, gaze și sare|8-12
1.1.6.2.|- platforme marine de foraj și extracție|24-36
1.1.7.|Turnuri de extracție minieră.|24-36
1.1.8.|Puțuri de mină, galerii, planuri înclinate și rampe de puț.|20-30
1.1.9.|Structuri de susținere, estacade și culoare pentru transportoare cu bandă.|24-36
1.1.10.|Rampe de încărcare-descărcare.|25-35
1.1.11.|Construcții miniere subterane: pentru personal; gări și remize; stații de pompare; stații de compresoare; canale pentru aeraj; buncăre; suitori-coborâtori; etc.|20-30
1.1.12.|Coșuri de fum și turnuri de răcire|24-36
1.1.13.|Iazuri pentru decantarea sterilului|12-48
1.1.14.|Camere de fum, de desprăfuire, de uscare,|28-42
1.1.15.|Lucrări de construcții de decopertă pentru exploatări miniere|8-12
1.1.16.|Poligoane de încercări experimentale în aer liber sau în încăperi închise.|12-18
1.1.17.|Alte construcții industriale neregăsite în cadrul subgrupei 1.1.|24-36
1.2.|Construcții agricole|
1.2.1.|Clădiri agrozootehnice|24-36
1.2.2.|Construcții agricole ușoare (barăci, magazii, șoproane, cabane)|8-12
1.2.3.|Depozite de îngrășăminte minerale sau naturale (construcții de compostare).|16-24
1.2.4.|Silozuri pentru furaje|24-36
1.2.5.|Silozuri pentru depozitarea și conservarea cerealelor.|28-42
1.2.6.|Pătule pentru depozitarea porumbului.|20-30
1.2.7.|Construcții pentru creșterea animalelor și păsărilor, padocuri.|20-30
1.2.8.|Heleștee, iazuri, bazine; ecluze și ascensoare; baraje; jgheaburi etc. pentru piscicultura.|24-36
1.2.9.|Terase pe arabil, plantații pomicole și viticole.|32-48
1.2.10.|Sere, solarii, răsadnițe și ciupercării:|
1.2.10.1.|- din zidărie, beton, metal sau lemn și sticlă.|16-24
1.2.10.2.|- construcție ușoară din lemn și folie din masă plastică.|2-4
1.2.11.|Alte construcții agricole neregăsite în cadrul subgrupei 1.2.|16-24
1.3.|Construcții pentru transporturi poștă și telecomunicații|
1.3.1.|Clădiri pentru transporturi: autogări, gări, stații pentru metrou, aeroporturi, porturi, hangare, depouri, garaje, ateliere, în afară de:|32-48
1.3.1.1.|- clădiri ușoare cu structură metalică|16-24
1.3.2.|Infrastructură pentru transport feroviar cu:|
1.3.2.1.|- ecartament normal și larg.|40-60
1.3.2.2.|- ecartament normal pentru metrou.|32-48
1.3.2.3.|- ecartament îngust, inclusiv forestier.|28-42
1.3.2.4.|- ecartament îngust minier.|12-18
1.3.3.|Infrastructură și stații de tramvaie.|24-36
1.3.4.|Rețele electrice de contact pentru tracțiune electrică:|
1.3.4.1.|- pentru linii de cale ferată.|24-36
1.3.4.2.|- pentru linii de tramvaie și troleibuze.|20-30
1.3.4.3.|- pentru linii de cale ferată minieră.|12-18
1.3.5.|Construcții pentru transport feroviar: peroane; treceri de nivel; port-gabarit; cheiuri de încărcare-descărcare; pentru alimentare și revizie locomotive; canale de coborât osii; fundații de plăci turnante și pod basculă; canale de zgură, etc.:|24-36
1.3.6.|Aparate de cale.|4-6
1.3.7.|Infrastructură drumuri (publice, industriale, agricole), alei, străzi și autostrăzi, cu toate accesoriile necesare (trotuare, borne, parcaje, parapete, marcaje, semne de circulație):|
1.3.7.1.|- cu îmbrăcăminte din balast, pământ stabilizat sau macadam.|16-24
1.3.7.2.|- cu îmbrăcăminte din beton asfaltic sau pavaj pe fundație suplă.|20-30
1.3.7.3.|- cu îmbrăcăminte din beton de ciment.|28-42
1.3.7.4.|- Infrastructură drumuri forestiere|24-36
1.3.8.|Piste pentru aeroporturi și platforme de staționare pentru avioane și autovehicole. Construcții aeroportuare.|32-48
1.3.9.|Cheiuri, estacade și docuri pentru nave.|40-60
1.3.10.|Cale pentru montarea și lansarea navelor:|
