Account,ParentAccount,Functie,Romana
1,,C,Conturi de capitaluri
10,1,C,Capital şi rezerve
101,10,C,Capital
1011,101,C,Capital subscris nevărsat
1012,101,C,Capital subscris vărsat
1015,101,C,Patrimoniul regiei
1016,101,C,Patrimoniul public
1017,101,C,Patrimoniul privat
1018,101,C,Patrimoniul institutelor naţionale de cercetare-dezvoltare
103,10,B,Alte elemente de capitaluri proprii
1031,103,C,Beneficii acordate angajaţilor sub forma instrumentelor de capitaluri proprii
1033,103,B,Diferenţe de curs valutar în relaţie cu investiţia netă într-o entitate străină
1038,103,B,Diferenţe din modificarea valorii juste a activelor financiare disponibile în vederea vânzării şi alte elemente de capitaluri proprii
104,10,C,Prime de capital
1041,104,C,Prime de emisiune
1042,104,C,Prime de fuziune/divizare
1043,104,C,Prime de aport
1044,104,C,Prime de conversie a obligaţiunilor în acţiuni
105,10,C,Rezerve din reevaluare
106,10,C,Rezerve
1061,106,C,Rezerve legale
1063,106,C,Rezerve statutare sau contractuale
1068,106,C,Alte rezerve
107,10,B,Diferenţe de curs valutar din conversie
108,10,B,Interese care nu controlează8
1081,108,B,Interese care nu controlează - rezultatul exerciţiului financiar
1082,108,B,Interese care nu controlează - alte capitaluri proprii
109,10,D,Acţiuni proprii
1091,109,D,Acţiuni proprii deţinute pe termen scurt
1092,109,D,Acţiuni proprii deţinute pe termen lung
1095,109,D,Acţiuni proprii reprezentând titluri deţinute de societatea absorbită la societatea absorbantă
11,1,B,Rezultatul reportat
117,11,B,Rezultatul reportat
1171,117,B,Rezultatul reportat reprezentând profitul nerepartizat sau pierderea neacoperită
1172,117,B,"Rezultatul reportat provenit din adoptarea pentru prima dată a IAS, mai puţin IAS 299"
1173,117,B,Rezultatul reportat provenit din modificările politicilor contabile
1174,117,B,Rezultatul reportat provenit din corectarea erorilor contabile
1175,117,B,Rezultatul reportat reprezentând surplusul realizat din rezerve din reevaluare
1176,117,B,Rezultatul reportat provenit din trecerea la aplicarea reglementărilor contabile conforme cu directivele europene
12,1,B,Rezultatul exerciţiului financiar
121,12,B,Profit sau pierdere
129,12,D,Repartizarea profitului
14,1,B,"Câştiguri sau pierderi legate de emiterea, răscumpărarea, vânzarea, cedarea cu titlu gratuit sau anularea instrumentelor de capitaluri proprii"
141,14,C,Câștiguri legate de vânzarea sau anularea instrumentelor de capitaluri proprii
1411,141,C,Câştiguri legate de vânzarea instrumentelor de capitaluri proprii
1412,141,C,Câştiguri legate de anularea instrumentelor de capitaluri proprii
149,14,D,"Pierderi legate de emiterea, răscumpărarea, vânzarea, cedarea cu titlu gratuit sau anularea instrumentelor de capitaluri proprii"
1491,149,D,Pierderi rezultate din vânzarea instrumentelor de capitaluri proprii
1495,149,D,"Pierderi rezultate din reorganizări, care sunt determinate de anularea titlurilor deţinute"
1496,149,D,"Pierderi rezultate din reorganizări de societăți, corespunzătoare activului net negativ al societății absorbite"
1498,149,D,Alte pierderi legate de instrumentele de capitaluri proprii
15,1,C,Provizioane
151,15,C,Provizioane
1511,151,C,Provizioane pentru litigii
1512,151,C,Provizioane pentru garanţii acordate clienţilor
1513,151,C,Provizioane pentru dezafectare imobilizări corporale şi alte acţiuni similare legate de acestea
1514,151,C,Provizioane pentru restructurare
1515,151,C,Provizioane pentru pensii şi obligaţii similare
1516,151,C,Provizioane pentru impozite
