Cont|Denumire|Parinte|Functie|Sumator|Defalcare
1|CONTURI DE CAPITALURI||B|1|S
2|CONTURI DE ACTIVE FIXE||B|1|S
3|CONTURI DE STOCURI SI PRODUCTIE ÎN CURS DE EXECUTIE||B|1|S
4|CONTURI DE TERTI||B|1|S
5|CONTURI LA TREZORERII SI INSTITUTII DE CREDIT||B|1|S
6|CONTURI DE CHELTUIELI||B|0|S
7|CONTURI DE VENITURI SI FINANTARI||B|0|S
8|CONTURI SPECIALE||B|0|S
10|CAPITAL, REZERVE, FONDURI|1|B|1|S
11|REZULTATULREPORTAT|1|B|1|S
12|REZULTATULPATRIMONIAL|1|B|1|S
13|FONDURI CU DESTINATIE SPECIALA|1|B|1|S
15|PROVIZIOANE|1|B|1|S
16|ÎMPRUMUTURI SI DATORII ASIMILATE -pe termen mediu si lung -|1|B|1|S
20|ACTIVE FIXE NECORPORALE|2|B|1|S
21|ACTIVE FIXE CORPORALE|2|B|1|S
23|ACTIVE FIXE ÎN CURS SI AVANSURI PENTRU ACTIVE FIXE|2|B|1|S
26|ACTIVE FINANCIARE (peste 1 an)|2|B|1|S
28|AMORTIZARI PRIVIND ACTIVELE FIXE|2|B|1|S
29|AJUSTARI PENTRU DEPRECIEREA SAU PIERDEREA DE VALOARE A ACTIVELOR FIXE|2|B|1|S
30|STOCURI DE MATERII SI MATERIALE|3|B|1|S
33|PRODUCTIA ÎN CURS DE EXECUTIE|3|B|1|S
34|PRODUSE|3|B|1|S
35|STOCURI AFLATE LA TERTI|3|B|1|S
36|ANIMALE|3|B|1|S
37|MARFURI|3|B|1|S
38|AMBALAJE|3|B|1|S
39|AJUSTARI PENTRU DEPRECIEREA STOCURILOR SIPRODUCTIEI ÎN CURS DE EXECUTIE|3|B|1|S
40|FURNIZORI SI CONTURI ASIMILATE|4|B|1|S
41|CLIENTI SI CONTURI ASIMILATE|4|B|1|S
42|PERSONAL SI CONTURI ASIMILATE|4|B|1|S
43|ASIGURARI SOCIALE, PROTECTIA SOCIALA SI CONTURI ASIMILATE|4|C|1|S
44|BUGETUL STATULUI, BUGETUL LOCAL, BUGETUL ASIGURARILOR SOCIALE DE STAT SI CONTURI ASIMILATE|4|B|1|S
45|DECONTARI CU COMISIA EUROPEANA PRIVIND FONDURILE NERAMBURSABILE (PHARE, SAPARD, ISPA, INSTRUMENTE STRUCTURALE, FONDURI PENTRU AGRICULTURA, FONDURI DE LA BUGET SI ALTE FONDURI)|4|B|1|S
46|DEBITORI SI CREDITORI DIVERSI, DEBITORI SI CREDITORI AI BUGETELOR|4|B|1|S
47|CONTURI DE REGULARIZARE SIASIMILATE|4|B|1|S
48|DECONTARI|4|B|1|S
49|AJUSTARI PENTRU DEPRECIEREA CREANTELOR|4|C|1|S
50|INVESTITII PE TERMEN SCURT|5|B|1|S
51|CONTURI LA TREZORERII SI INSTITUTII DE CREDIT|5|B|1|S
52|DISPONIBIL AL BUGETELOR|5|B|1|S
53|CASA SI ALTE VALORI|5|B|1|S
54|ACREDITIVE|5|B|1|S
55|DISPONIBIL DIN FONDURI CU DESTINATIE SPECIALA|5|B|1|S
56|DISPONIBIL AL INSTITUTIILOR PUBLICE SI ACTIVITATILOR FINANTATE INTEGRAL SAU PARTIAL DIN VENITURI PROPRII|5|B|1|S
57|DISPONIBIL DIN VENITURILE FONDURILOR SPECIALE|5|B|1|S
58|VIRAMENTE INTERNE|5|B|1|S
