VACUUM
Time: 1408.390 ms (00:01.408)
  Granita   | Spatiu | randuri 
------------+--------+---------
 2016-12-31 |      1 |  321142
 2016-12-31 |      2 |  109391
 2016-12-31 |      3 |   44016
 2017-12-31 |      1 |  389656
 2017-12-31 |      2 |  109391
 2017-12-31 |      3 |   44016
 2018-12-31 |      1 |  389656
 2018-12-31 |      2 |  109391
 2018-12-31 |      3 |   44016
 2019-12-31 |      1 |  389656
 2019-12-31 |      2 |  109391
 2019-12-31 |      3 |   44016
 2020-12-31 |      1 |  389656
 2020-12-31 |      2 |  109391
 2020-12-31 |      3 |   44016
 2021-12-31 |      1 |  389656
 2021-12-31 |      2 |  109391
 2021-12-31 |      3 |   44016
 2022-12-31 |      1 |  389656
 2022-12-31 |      2 |  109391
 2022-12-31 |      3 |   44016
 2023-12-31 |      1 |  389656
 2023-12-31 |      2 |  109391
 2023-12-31 |      3 |   44016
 2024-12-31 |      1 |  389713
 2024-12-31 |      2 |  110786
 2024-12-31 |      3 |   44016
 2025-12-31 |      1 |  389713
 2025-12-31 |      2 |  110786
 2025-12-31 |      3 |   44016
(30 rows)

Time: 115.374 ms
  total  | tabela | indexi 
