          tip           | TipStoc | semn | randuri | suma_cantitate | suma_valoare  | storno 
------------------------+---------+------+---------+----------------+---------------+--------
 Asamblare              |       1 |   -1 |      41 |       -850.000 |     -10948.15 |      0
 Asamblare              |       1 |    1 |     511 |       2167.480 |      99660.58 |      0
 Asamblare              |       5 |   -1 |    3181 |     -21773.174 |   -7507808.61 |      0
 Asamblare              |       5 |    1 |     961 |       6784.000 |    7419096.18 |      0
 BonConsum              |       1 |   -1 |     990 |     -17072.480 |    -182837.04 |      0
 BonConsum              |       2 |    1 |    1471 |      18602.480 |     340618.38 |      0
 BonConsum              |       5 |   -1 |     481 |      -1530.000 |    -157781.34 |      0
 DescarcareGestiune     |       5 |   -1 |   62063 |    -182013.000 |  -79199898.27 |      0
 (deschidere)           |       1 |    1 |      40 |       1980.000 |      13568.62 |      0
 (deschidere)           |       5 |    0 |     130 |          0.000 |       6267.19 |      0
 (deschidere)           |       5 |    1 |    6777 |      36567.480 |    9501036.21 |      0
 ListaDiferenteInventar |       5 |    1 |      22 |        395.000 |     773417.09 |      0
 NIR                    |       1 |    1 |     496 |      14710.000 |      86294.48 |      0
 NIR                    |       5 |    1 |   33793 |     188818.694 |   83507010.00 |      0
 NotaTransfer           |       1 |   -1 |     339 |      -4856.000 |     -83646.38 |      0
 NotaTransfer           |       1 |    1 |     339 |       4856.000 |      83646.38 |      0
 NotaTransfer           |       5 |   -1 |   84688 |    -265813.000 | -121010658.29 |      0
 NotaTransfer           |       5 |    1 |   84688 |     265813.000 |  121010658.29 |      0
 ReturClient            |       5 |    1 |    2010 |       6552.000 |    3616498.74 |      0
 ReturFurnizor          |       1 |   -1 |       2 |         -6.000 |       -657.84 |      0
 ReturFurnizor          |       5 |   -1 |     475 |      -3264.000 |   -2614827.91 |      0
(21 rows)

